,tconst,averageRating,numVotes
728590,tt15135914,6.9,199
1291494,tt6693150,5.9,199
1311368,tt7085058,6.6,199
109883,tt0155476,5.4,199
200473,tt0342816,6.8,199
1379711,tt8575428,6.2,199
90372,tt0119625,6.4,199
1141832,tt4263844,6.3,199
86340,tt0114727,5.0,199
255297,tt0470198,4.1,199
1187644,tt5037684,5.5,199
48170,tt0069959,6.7,199
1304471,tt6947630,5.5,199
84935,tt0112961,7.0,199
720260,tt1496709,7.3,199
22954,tt0040744,6.5,199
1142235,tt4268850,6.6,199
83698,tt0111423,6.1,198
94501,tt0125841,3.5,198
1421605,tt9643832,8.1,198
13888,tt0029802,6.5,198
571730,tt11995204,8.9,198
45886,tt0067376,5.3,198
126430,tt0187109,4.5,198
32305,tt0051863,7.9,198
1307495,tt7001136,6.5,198
214940,tt0375750,8.8,198
205790,tt0355650,4.4,198
908299,tt21915352,3.9,198
38588,tt0058952,5.1,198
1226597,tt5630752,4.5,198
56238,tt0079230,4.2,198
6930,tt0020621,6.8,198
1275728,tt6388464,6.3,198
803325,tt1737723,5.3,198
780099,tt1646217,4.1,198
1035383,tt29467317,6.5,198
1358360,tt8075634,4.6,198
90858,tt0120196,4.7,198
689760,tt1432761,6.0,198
954703,tt2402631,6.9,198
195689,tt0330094,5.4,198
1306480,tt6981052,6.1,198
941782,tt2349212,4.4,198
453456,tt0979902,7.8,198
167386,tt0273375,8.2,198
1151198,tt4422998,6.2,198
125507,tt0185547,6.8,198
25310,tt0043647,6.9,198
931460,tt2293398,7.5,198
266223,tt0497467,6.3,198
87984,tt0116737,4.2,198
38423,tt0058763,5.4,198
1087289,tt3447876,3.6,198
930493,tt22890210,7.3,198
943887,tt2360334,5.1,198
962041,tt24657706,9.1,198
1070528,tt3212064,7.5,198
62308,tt0086286,5.9,198
26563,tt0045137,7.0,198
20293,tt0037496,5.7,198
1084028,tt3398108,3.8,198
844599,tt1922767,7.2,198
626687,tt1309388,8.2,198
25515,tt0043881,6.0,198
775961,tt16358288,7.3,198
57001,tt0080125,7.2,198
38504,tt0058852,7.4,198
61722,tt0085609,5.8,198
164906,tt0268211,6.0,198
1070886,tt3215154,7.6,198
651646,tt13555952,7.0,198
1109209,tt3746912,2.6,198
1307704,tt7005920,7.7,198
961007,tt2457504,6.4,198
453097,tt0978601,6.5,198
1167060,tt4680594,5.5,198
38629,tt0059001,7.5,198
1032230,tt29295178,6.7,198
676072,tt1405373,6.7,198
151187,tt0239348,7.4,198
138688,tt0211822,7.0,198
73371,tt0099076,6.0,198
907036,tt2187071,5.5,198
201305,tt0344952,7.9,198
533723,tt11285152,6.5,198
437592,tt0921875,5.1,198
1299796,tt6850980,6.3,198
41161,tt0061945,6.1,198
61196,tt0084994,5.7,198
432232,tt0902324,6.8,198
851133,tt1951552,7.0,198
73499,tt0099227,4.3,198
802535,tt17349030,6.5,198
142789,tt0220315,6.8,198
1299093,tt6842446,3.3,198
543920,tt11467896,3.5,198
1241781,tt5866732,6.4,198
72204,tt0097726,4.0,198
144588,tt0224454,6.4,198
31587,tt0051032,5.7,198
11672,tt0027020,6.0,198
236825,tt0424720,5.3,198
601340,tt12593058,4.3,198
55373,tt0078250,6.1,198
906890,tt21867362,6.5,198
919599,tt2235515,3.6,198
765515,tt1601793,4.3,198
34040,tt0053846,6.7,198
21261,tt0038676,5.8,198
871180,tt2048944,7.0,198
61323,tt0085143,4.2,198
104092,tt0145026,7.4,198
34520,tt0054392,5.1,198
91355,tt0120809,6.6,198
17171,tt0033771,5.7,198
705221,tt14637930,4.4,198
7998,tt0022139,6.2,198
767309,tt1608631,3.5,198
802230,tt1734063,5.0,198
